t_us,p_cmd_deg,p_act_deg,v_cmd,v_act,t_cmd,t_act,iq,vbus,temp,state,events
136460551,0.000,0.022,0.0000,0.0313,0.0000,-0.0291,0.000,32.34,40.0,3,0
136461601,0.000,0.000,0.0000,-0.0038,0.0000,0.0302,0.000,32.34,40.0,3,0
136462547,0.000,0.000,0.0000,-0.0359,0.0000,0.0016,0.000,32.34,40.0,3,0
136463561,0.000,0.000,0.0000,0.1060,0.0000,-0.0159,0.000,32.34,40.0,3,0
136464867,0.000,0.022,0.0000,0.0755,0.0000,0.0060,0.000,32.34,40.0,3,0
136465629,0.000,0.022,0.0000,-0.0038,0.0000,-0.0027,0.000,32.34,40.0,3,0
136466592,0.000,0.022,0.0000,0.0908,0.0000,0.0225,0.000,32.34,40.0,3,0
136467545,0.000,0.000,0.0000,-0.1137,0.0000,-0.0236,0.000,32.34,40.0,3,0
136468600,0.000,0.022,0.0000,0.1381,0.0000,0.0126,0.000,32.34,40.0,3,0
136469897,0.000,0.022,0.0000,0.0191,0.0000,0.0467,0.000,32.34,40.0,3,0
136470573,0.000,0.000,0.0000,-0.1198,0.0000,-0.0170,0.000,32.34,40.0,3,0
136471573,0.000,0.022,0.0000,0.0145,0.0000,0.0093,0.000,32.34,40.0,3,0
136472887,0.000,0.000,0.0000,-0.0816,0.0000,0.0060,0.000,32.34,40.0,3,0
136473569,0.000,0.022,0.0000,-0.0389,0.0000,0.0104,0.000,32.34,40.0,3,0
136474890,0.000,0.000,0.0000,-0.0282,0.0000,0.0038,0.000,32.34,40.0,3,0
136475572,0.000,0.000,0.0000,0.0938,0.0000,-0.0423,0.000,32.34,40.0,3,0
136476897,0.000,0.000,0.0000,0.0130,0.0000,0.0137,0.000,32.34,40.0,3,0
136477572,0.000,0.000,0.0000,-0.0374,0.0000,-0.0071,0.000,32.34,40.0,3,0
136478581,0.000,0.000,0.0000,0.0954,0.0000,-0.0049,0.000,32.34,40.0,3,0
136479871,0.000,0.000,0.0000,0.0130,0.0000,-0.0027,0.000,32.34,40.0,3,0
136480591,0.000,0.000,0.0000,-0.0328,0.0000,0.0038,0.000,32.34,40.0,3,0
136481600,0.000,0.000,0.0000,-0.0130,0.0000,-0.0104,0.000,32.34,40.0,3,0
136482593,0.000,0.000,0.0000,0.0114,0.0000,-0.0390,0.000,32.34,40.0,3,0
136483595,0.000,0.000,0.0000,0.0755,0.0000,-0.0126,0.000,32.34,40.0,3,0
136484870,0.000,0.022,0.0000,0.0526,0.0000,-0.0115,0.000,32.34,40.0,3,0
136485644,0.000,0.000,0.0000,-0.1549,0.0000,-0.0324,0.000,32.34,40.0,3,0
136486584,0.000,0.022,0.0000,0.0816,0.0000,0.0060,0.000,32.34,40.0,3,0
136487544,0.000,0.022,0.0000,-0.0572,0.0000,-0.0027,0.000,32.34,40.0,3,0
136488632,0.000,0.022,0.0000,-0.0191,0.0000,0.0137,0.000,32.34,40.0,3,0
136489874,0.000,0.000,0.0000,0.0389,0.0000,-0.0203,0.000,32.34,40.0,3,0
136490513,0.000,0.022,0.0000,-0.0084,0.0000,0.0170,0.000,32.34,40.0,3,0
136491582,0.000,0.000,0.0000,-0.0435,0.0000,-0.0137,0.000,32.34,40.0,3,0
136492864,0.000,0.000,0.0000,-0.0404,0.0000,0.0137,0.000,32.34,40.0,3,0
136493561,0.000,0.000,0.0000,-0.1289,0.0000,-0.0115,0.000,32.34,40.0,3,0
136494869,0.000,0.022,0.0000,-0.0908,0.0000,-0.0016,0.000,32.34,40.0,3,0
136495597,0.000,0.000,0.0000,-0.0435,0.0000,-0.0269,0.000,32.34,40.0,3,0
136496878,0.000,0.022,0.0000,0.1778,0.0000,0.0093,0.000,32.34,40.0,3,0
136497560,0.000,0.000,0.0000,-0.1808,0.0000,-0.0159,0.000,32.34,40.0,3,0
136498547,0.000,0.022,0.0000,0.1015,0.0000,-0.0148,0.000,32.34,40.0,3,0
136499976,0.000,0.022,0.0000,-0.0145,0.0000,-0.0181,0.000,32.34,40.0,3,0
136500549,0.000,0.022,0.0000,-0.0771,0.0000,-0.0104,0.000,32.34,40.0,3,0
136501564,0.000,0.022,0.0000,0.0374,0.0000,-0.0038,0.000,32.34,40.0,3,0
136502542,0.000,0.022,0.0000,0.0389,0.0000,-0.0214,0.000,32.34,40.0,3,0
136503597,0.000,0.022,0.0000,-0.0511,0.0000,-0.0214,0.000,32.34,40.0,3,0
136504869,0.000,0.022,0.0000,0.0145,0.0000,0.0082,0.000,32.34,40.0,3,0
136505562,0.000,0.022,0.0000,0.0801,0.0000,0.0115,0.000,32.34,40.0,3,0
136506547,0.000,0.000,0.0000,-0.0832,0.0000,0.0192,0.000,32.34,40.0,3,0
136507597,0.000,0.000,0.0000,-0.0450,0.0000,-0.0093,0.000,32.34,40.0,3,0
