t_us,p_cmd,p_act,v_cmd,v_act,t_cmd,t_act,iq,vbus,temp,state,events
49561631,0.000,-0.110,0.0000,0.0862,0.0000,-0.0060,0.000,32.41,32.0,3,2048
49562616,0.000,-0.132,0.0000,0.0191,0.0000,-0.0027,0.000,32.41,32.0,3,2048
49563877,0.000,-0.110,0.0000,0.0923,0.0000,0.0214,0.000,32.41,32.0,3,2048
49564602,0.000,-0.110,0.0000,-0.0389,0.0000,-0.0060,0.000,32.41,32.0,3,2048
49565599,0.000,-0.110,0.0000,-0.0679,0.0000,0.0005,0.000,32.41,32.0,3,2048
49566585,0.000,-0.110,0.0000,0.0130,0.0000,0.0214,0.000,32.41,32.0,3,2048
49567582,0.000,-0.132,0.0000,-0.0084,0.0000,0.0060,0.000,32.41,32.0,3,2048
49568904,0.000,-0.110,0.0000,0.1106,0.0000,-0.0082,0.000,32.41,32.0,3,2048
49569586,0.000,-0.132,0.0000,-0.0664,0.0000,-0.0027,0.000,32.41,32.0,3,2048
49570587,0.000,-0.132,0.0000,-0.0908,0.0000,0.0203,0.000,32.41,32.0,3,2048
49571901,0.000,-0.110,0.0000,0.0343,0.0000,0.0082,0.000,32.41,32.0,3,2048
49572585,0.000,-0.110,0.0000,0.0740,0.0000,-0.0159,0.000,32.41,32.0,3,2048
49573913,0.000,-0.110,0.0000,0.0603,0.0000,-0.0203,0.000,32.41,32.0,3,2048
49574560,0.000,-0.110,0.0000,0.1091,0.0000,0.0137,0.000,32.41,32.0,3,2048
49575879,0.000,-0.132,0.0000,0.0313,0.0000,-0.0071,0.000,32.41,32.0,3,2048
49576606,0.000,-0.132,0.0000,-0.0496,0.0000,-0.0038,0.000,32.41,32.0,3,2048
49577611,0.000,-0.110,0.0000,-0.1060,0.0000,-0.0533,0.000,32.41,32.0,3,2048
49578923,0.000,-0.110,0.0000,-0.0771,0.0000,0.0258,0.000,32.41,32.0,3,2048
49579613,0.000,-0.110,0.0000,0.0374,0.0000,0.0181,0.000,32.41,32.0,3,2048
49580560,0.000,-0.132,0.0000,-0.0420,0.0000,-0.0093,0.000,32.41,32.0,3,2048
49581617,0.000,-0.110,0.0000,0.1259,0.0000,0.0313,0.000,32.41,32.0,3,2048
49582556,0.000,-0.132,0.0000,-0.0771,0.0000,-0.0093,0.000,32.41,32.0,3,2048
49583901,0.000,-0.110,0.0000,0.0496,0.0000,-0.0126,0.000,32.41,32.0,3,2048
49584557,0.000,-0.110,0.0000,0.0557,0.0000,0.0313,0.000,32.41,32.0,3,2048
49585613,0.000,-0.110,0.0000,0.0023,0.0000,-0.0192,0.000,32.41,32.0,3,2048
49586556,0.000,-0.132,0.0000,-0.0038,0.0000,0.0115,0.000,32.41,32.0,3,2048
49587572,0.000,-0.110,0.0000,0.0114,0.0000,-0.0049,0.000,32.41,32.0,3,2048
49588883,0.000,-0.132,0.0000,-0.0481,0.0000,0.0126,0.000,32.41,32.0,3,2048
49589610,0.000,-0.132,0.0000,-0.0557,0.0000,0.0060,0.000,32.41,32.0,3,2048
49590561,0.000,-0.110,0.0000,0.0801,0.0000,-0.0159,0.000,32.41,32.0,3,2048
49591887,0.000,-0.132,0.0000,-0.0648,0.0000,0.0258,0.000,32.41,32.0,3,2048
49592556,0.000,-0.110,0.0000,0.1411,0.0000,-0.0082,0.000,32.41,32.0,3,2048
49593928,0.000,-0.132,0.0000,0.0221,0.0000,-0.0335,0.000,32.41,32.0,3,2048
49594563,0.000,-0.110,0.0000,-0.0160,0.0000,0.0016,0.000,32.41,32.0,3,2048
49595897,0.000,-0.110,0.0000,0.0221,0.0000,0.0137,0.000,32.41,32.0,3,2048
49596559,0.000,-0.110,0.0000,0.0313,0.0000,0.0346,0.000,32.41,32.0,3,2048
49597609,0.000,-0.132,0.0000,-0.1152,0.0000,-0.0346,0.000,32.41,32.0,3,2048
49598885,0.000,-0.132,0.0000,-0.0237,0.0000,0.0005,0.000,32.41,32.0,3,2048
49599578,0.000,-0.110,0.0000,0.1091,0.0000,0.0379,0.000,32.41,32.0,3,2048
49600560,0.000,-0.132,0.0000,-0.0420,0.0000,0.0159,0.000,32.41,32.0,3,2048
49601681,0.000,-0.110,0.0000,-0.0023,0.0000,-0.0071,0.000,32.41,32.0,3,2048
49602557,0.000,-0.110,0.0000,0.0359,0.0000,-0.0346,0.000,32.41,32.0,3,2048
49603883,0.000,-0.110,0.0000,-0.0023,0.0000,0.0401,0.000,32.41,32.0,3,2048
