t_s,p_cmd_deg,p_act_deg,v_cmd,v_act,t_cmd,t_act,iq,vbus,temp
17.219,351.777,351.821,0,0.0221,0,0.0181,-0.018,32.38,38
17.23,351.777,351.799,0,-0.016,0,-0.0148,-0.018,32.38,38
17.241,351.777,351.821,0,0.0313,0,0.0093,-0.018,32.38,38
17.271,351.777,351.799,0,-0.0633,0,0.0225,-0.018,32.38,38
17.282,351.777,351.821,0,-0.0038,0,-0.0038,-0.018,32.38,38
17.292,351.777,351.821,0,0.0587,0,-0.0082,-0.018,32.38,38
17.322,351.777,351.821,0,-0.0069,0,0.0159,-0.018,32.38,38
17.333,351.777,351.821,0,-0.0618,0,-0.0236,-0.018,32.38,38
17.343,351.777,351.821,0,0.071,0,0.0247,-0.018,32.38,38
17.38,351.777,351.799,0,-0.0587,0,-0.006,-0.018,32.38,38
17.391,351.777,351.821,0,0.0908,0,-0.0236,-0.018,32.38,38
17.425,351.777,351.821,0,-0.0053,0,0.0082,-0.018,32.38,38
17.436,351.777,351.821,0,-0.0633,0,0.0049,-0.018,32.38,38
17.446,351.777,351.821,0,0.0084,0,-0.0082,-0.018,32.38,38
17.466,351.777,351.821,0,0.0954,0,0.0225,-0.018,32.38,38
17.469,351.777,351.821,0,-0.0114,0,-0.0159,-0.018,32.38,38
17.475,351.667,351.821,-1.787,0.0465,-10.8679,-0.0071,-0.018,32.38,38
17.486,347.138,349.184,-11.687,-7.8698,-10.9669,-6.6979,-0.018,32.38,38
17.496,337.605,342.043,-20.687,-16.041,-11.0569,-7.4417,-0.018,32.38,38
17.549,224.818,263.138,-30.587,-30.2182,10.4441,-0.7784,-0.018,32.38,38
17.612,200,204.601,0,-3.3974,0,1.765,-0.018,32.38,38
17.661,200,200.954,0,-0.5379,0,0.1038,-0.018,32.38,38
17.703,200,200.383,0,-0.0435,0,-0.0906,-0.018,32.38,38
17.714,200,200.361,0,-0.0648,0,-0.1148,-0.018,32.38,38
17.76,200,200.339,0,0.0526,0,-0.1071,-0.018,32.38,38
